OMRÅDE;BEVOKSNING;TID;INDHOLD
Ballerup;Andre nåletræarter;2000;0,9
Brøndby;Skovareal i alt;1990;107,2
Brøndby;Skovareal i alt;2000;131,0
Brøndby;Hjælpearealer;1990;9,1
Brøndby;Hjælpearealer;2000;5,2
Brøndby;Skovbevokset areal i alt;1990;98,1
Brøndby;Skovbevokset areal i alt;2000;125,8
Brøndby;Midlertidig ubevokset;1990;2,5
Brøndby;Midlertidig ubevokset;2000;0,0
Brøndby;Løvtræer, areal i alt;1990;87,2
Brøndby;Løvtræer, areal i alt;2000;116,9
Brøndby;Bøg;1990;35,5
Brøndby;Bøg;2000;48,9
Brøndby;Eg;1990;22,4
Brøndby;Eg;2000;48,2
Brøndby;Ask;1990;5,0
Brøndby;Ask;2000;8,8
Brøndby;Ær (Ahorn);1990;2,5
Brøndby;Ær (Ahorn);2000;2,5
Brøndby;Andre løvtræarter;1990;21,8
Brøndby;Andre løvtræarter;2000;8,5
Brøndby;Nåletræer i alt;1990;8,4
Brøndby;Nåletræer i alt;2000;8,9
Brøndby;Rødgran;1990;6,6
Brøndby;Rødgran;2000;7,1
Brøndby;Sitkagran mv.;1990;0,6
Brøndby;Sitkagran mv.;2000;0,0
Brøndby;Nobilis;1990;0,0
Brøndby;Nobilis;2000;0,0
Brøndby;Nordmannsgran;1990;0,3
Brøndby;Nordmannsgran;2000;0,3
Brøndby;Andre ædelgranarter;1990;0,0
Brøndby;Andre ædelgranarter;2000;0,0
Brøndby;Andre nåletræarter;1990;0,9
Brøndby;Andre nåletræarter;2000;1,5
Dragør;Skovareal i alt;1990;192,7
Dragør;Skovareal i alt;2000;209,0
Dragør;Hjælpearealer;1990;9,3
Dragør;Hjælpearealer;2000;10,1
Dragør;Skovbevokset areal i alt;1990;183,4
Dragør;Skovbevokset areal i alt;2000;198,9
Dragør;Midlertidig ubevokset;1990;15,0
Dragør;Midlertidig ubevokset;2000;0,0
Dragør;Løvtræer, areal i alt;1990;128,9
Dragør;Løvtræer, areal i alt;2000;151,9
Dragør;Bøg;1990;24,3
Dragør;Bøg;2000;33,3
Dragør;Eg;1990;99,7
Dragør;Eg;2000;106,1
Dragør;Ask;1990;1,8
Dragør;Ask;2000;5,5
Dragør;Ær (Ahorn);1990;0,0
Dragør;Ær (Ahorn);2000;0,0
Dragør;Andre løvtræarter;1990;3,1
Dragør;Andre løvtræarter;2000;7,0
Dragør;Nåletræer i alt;1990;39,5
Dragør;Nåletræer i alt;2000;47,0
Dragør;Rødgran;1990;4,9
Dragør;Rødgran;2000;5,5
Dragør;Sitkagran mv.;1990;0,8
Dragør;Sitkagran mv.;2000;2,7
Dragør;Nobilis;1990;0,0
Dragør;Nobilis;2000;0,0
Dragør;Nordmannsgran;1990;4,5
Dragør;Nordmannsgran;2000;7,4
Dragør;Andre ædelgranarter;1990;21,4
Dragør;Andre ædelgranarter;2000;20,7
Dragør;Andre nåletræarter;1990;7,9
Dragør;Andre nåletræarter;2000;10,7
Gentofte;Skovareal i alt;1990;141,5
